"_id";correspond;seed
5cdf015445d3d811cf7721df;C;menantang
5cdf015445d3d811cf7721e0;C;bijaksana
5cdf015445d3d811cf7721e1;C;pertumbuhan
5cdf015445d3d811cf7721e2;C;kualitas
5cdf015445d3d811cf7721e3;C;menganalisis
5cdf015445d3d811cf7721e4;C;detail
5cdf015445d3d811cf7721e5;C;waspada
5cdf015445d3d811cf7721e6;C;fakta
5cdf015445d3d811cf7721e7;C;analitis
5cdf015445d3d811cf7721e8;C;ketepatan
5cdf015445d3d811cf7721e9;C;ditebak
5cdf015445d3d811cf7721ea;C;pilihan
5cdf015445d3d811cf7721eb;C;logis
5cdf015445d3d811cf7721ec;C;prestasi
5cdf015445d3d811cf7721ed;C;logika
5cdf015445d3d811cf7721ee;C;keahlian
5cdf015445d3d811cf7721ef;C;kompetensi
5cdf015445d3d811cf7721f0;C;cermat
5cdf015445d3d811cf7721f1;C;perfeksionis
5cdf015445d3d811cf7721f2;D;fokus
5cdf015445d3d811cf7721f3;D;menerima
5cdf015445d3d811cf7721f4;D;ide
5cdf015445d3d811cf7721f5;D;mencapai
5cdf015445d3d811cf7721f6;D;praktis
5cdf015445d3d811cf7721f7;D;tindakan
5cdf015445d3d811cf7721f8;D;tujuan
5cdf015445d3d811cf7721f9;D;langsung
5cdf015445d3d811cf7721fa;D;kemenangan
5cdf015445d3d811cf7721fb;D;hasil
5cdf015445d3d811cf7721fc;D;mendapatkan
5cdf015445d3d811cf7721fd;D;terjadi
5cdf015445d3d811cf7721fe;I;kelompok
5cdf015445d3d811cf7721ff;I;pendapat
5cdf015445d3d811cf772200;I;antusias
5cdf015445d3d811cf772201;I;kebahagiaan
5cdf015445d3d811cf772202;I;konseling
5cdf015445d3d811cf772203;I;sosial
5cdf015445d3d811cf772204;I;ramah
5cdf015445d3d811cf772205;I;antusiasme
5cdf015445d3d811cf772206;I;bersemangat
5cdf015445d3d811cf772207;I;terusterang
5cdf015445d3d811cf772208;I;kerelaan
5cdf015445d3d811cf772209;I;optimis
5cdf015445d3d811cf77220a;I;pembinaan
5cdf015445d3d811cf77220b;I;menyenangkan
5cdf015445d3d811cf77220c;I;taksir
5cdf015445d3d811cf77220d;I;berenergi
5cdf015445d3d811cf77220e;I;pengakuan
5cdf015445d3d811cf77220f;I;status
5cdf015445d3d811cf772210;I;impulsif
5cdf015445d3d811cf772211;I;hubungan
5cdf015445d3d811cf772212;I;ekspresif
5cdf015445d3d811cf772213;I;kegembiraan
5cdf015445d3d811cf772214;I;perasaan
5cdf015445d3d811cf772215;S;sabar
5cdf015445d3d811cf772216;S;diandalkan
5cdf015445d3d811cf772217;S;stabilitas
5cdf015445d3d811cf772218;S;membantu
5cdf015445d3d811cf772219;S;stabil
5cdf015445d3d811cf77221a;S;biasa
5cdf015445d3d811cf77221b;S;kerjasama
5cdf015445d3d811cf77221c;S;kepercayaan
5cdf015445d3d811cf77221d;S;tenang
5cdf015445d3d811cf77221e;S;keamanan
5cdf015445d3d811cf77221f;S;konsisten
